Код погоды,Сумма всех осадков,Часы с осадками,Сумма дождевых осадков,Суммарное количество дождевых осадков,Средняя облачность,Максимальная облачность,Минимальная облачность,Средняя температура,Максимальная температура,Минимальная температура,Средняя ощущаемая температура,Минимальная ощущаемая температура,Максимальная ощущаемая температура,Направление ветра ,Максимальные порывы ветра,Максимальная скорость ветра,Средняя относительная влажность,Максимальная относительная влажность,Минимальная относительная влажность,Сумма коротковолнового излучения,Средняя точка росы,Максимальная точка росы,Минимальная точка росы,"Количество секунд, когда светило солнце",Давление на уровне земли
3,0.0,0.0,0.0,0.0,73.75,99.0,9.0,-14.149083,-11.409499,-20.3095,-20.19466,-26.02455,-17.153643,257.0697,10.5,5.8549128,74.29268,78.26234,66.80065,3.3,-17.730333,-15.2595,-24.4095,19867.25,973.52167
3,0.0,0.0,0.0,0.0,13.958333,97.0,0.0,-14.734498,-11.459499,-17.5095,-20.206486,-22.740156,-17.010904,271.7204,7.2,4.0112343,80.12287,86.19733,74.315346,4.74,-17.413666,-15.1095,-19.2595,24510.871,967.88727
71,0.0,0.0,0.0,0.14,60.416668,100.0,0.0,-19.717833,-17.4095,-25.3595,-25.582514,-30.944098,-22.641762,5.5404763,8.8,4.9396353,77.543884,87.23022,65.651184,3.64,-22.682417,-19.1095,-28.5095,16783.1,975.6136
71,0.1,1.0,0.0,0.21000001,46.583332,100.0,0.0,-26.17408,-20.9095,-32.1595,-31.506142,-37.52509,-26.220722,281.82407,6.0,3.3136082,70.76505,76.41558,60.60919,4.48,-29.932417,-24.3595,-35.559498,22925.342,978.15717
2,0.0,0.0,0.0,0.0,35.541668,75.0,6.0,-21.788666,-16.2595,-25.8595,-27.231157,-31.48225,-21.539652,302.26437,5.6,3.2015622,78.194695,82.463524,73.0633,4.53,-24.57408,-19.8595,-28.6595,24761.35,976.76666
3,0.0,0.0,0.0,0.0,37.125,100.0,1.0,-19.057413,-12.959499,-21.8095,-24.015951,-26.85691,-17.39353,283.10767,4.7,2.5079873,80.01325,84.03433,70.44236,4.99,-21.66575,-17.1595,-24.2595,24788.074,983.97955
0,0.0,0.0,0.0,0.0,4.7083335,19.0,0.0,-20.976168,-16.959501,-23.459501,-26.275991,-28.821728,-22.080408,266.33588,5.0,3.1144822,74.21485,84.21514,61.52992,5.47,-24.426163,-22.1595,-26.0595,25906.457,985.9045
3,0.0,0.0,0.0,0.0,40.25,100.0,0.0,-17.680334,-14.0095,-21.3095,-23.596209,-27.007708,-19.870697,245.92818,7.4,4.4418464,63.498234,69.17874,57.104645,5.1,-22.974083,-19.2595,-25.459501,22815.77,986.3648
3,0.0,0.0,0.0,0.0,87.041664,100.0,45.0,-12.578248,-10.159499,-14.459499,-18.703308,-20.679882,-16.245426,255.11806,9.6,5.664804,72.635735,79.88918,68.05384,3.0,-16.482418,-14.0595,-19.0595,10831.417,982.7649
71,0.3,2.0,0.0,0.28,99.791664,100.0,99.0,-10.459502,-7.7095,-13.5595,-15.632905,-18.209517,-13.092716,229.90523,7.0,4.404543,78.67087,82.2298,71.53956,3.34,-13.467834,-11.659499,-16.0595,2011.8193,981.6848
3,0.0,0.0,0.0,0.0,98.333336,100.0,86.0,-7.9865823,-7.0595,-8.8595,-13.93206,-14.9737425,-12.98455,234.46794,9.5,5.661272,74.443794,83.16127,67.052826,3.57,-11.757417,-10.5095,-13.0595,11874.559,980.41895
73,3.4,11.0,0.0,2.4499998,95.75,100.0,71.0,-6.6178336,-4.9095,-8.3095,-12.508953,-14.14971,-10.7955885,233.9227,13.3,7.4946647,81.748116,84.89508,76.590614,3.86,-9.2282505,-7.6595,-10.6095,12789.125,973.39923
